ID,Title,Author(s),Source,Journal,Language(s),Publication year,PID_limpo,URL_PT,Titulo_PT,Resumo_PT,Palavras_Chave_PT,status,fonte_extracao,url_acedida
S0101-28002025000400314-scl,Nephrologists’ perceptions of competencies acquired during medical residency in Nephrology and their applicability to daily clinical practice,"Pereira, Mariana Batista, Eloy, Patrícia Oliveira Costa, Bastos, Kleyton de Andrade",Brazilian Journal of Nephrology; 47(4); -,Brazilian Journal of Nephrology,"Inglês, Português",2025,S0101-28002025000400314,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002025000400314&tlng=pt,Percepção dos nefrologistas sobre as competências adquiridas durante a residência médica em Nefrologia e sua aplicabilidade na prática clínica diária,"Introdução: O currículo da residência médica (RM) passou por uma reformulação e, em 2021, publicou-se a matriz de competências para a RM em nefrologia. Este estudo teve como objetivo avaliar a percepção de nefrologistas sobre as competências adquiridas durante a RM e sua importância na prática clínica atual.  Método: Estudo transversal, conduzido por meio de questionário eletrônico autoaplicável, que incluiu dados demográficos, informações sobre a atuação profissional e avaliação do aprendizado e da utilidade das competências adquiridas durante a RM em nefrologia. Os participantes responderam às questões em escala Likert de cinco pontos. Foram incluídos apenas nefrologistas formados em programas credenciados pelo Ministério da Educação.  Resultados: Foram incluídos 163 nefrologistas de diferentes estados do Brasil. A maioria considerou as competências clínicas adquiridas e úteis para a prática, com exceção do cuidado paliativo, no qual 54% sentiram-se aptos e 93,2% o consideraram essencial. Os procedimentos em que a utilidade superou o aprendizado foram: realização de exame de fundo de olho, implante de cateter definitivo para hemodiálise, cateter para diálise peritoneal e realização de ultrassonografia. Além disso, menos de 40% dos participantes relataram sentir-se preparados para atuar em gestão, pesquisa clínica e atividades docentes, apesar da percepção da sua importância.  Conclusão: O estudo destaca a percepção dos nefrologistas sobre as competências adquiridas durante a RM e aponta a necessidade de aprimoramento na formação em nefrologia, especialmente nas áreas de gestão, educação e pesquisa.",Residência Médica; Nefrologia; Educação Médica,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S0101-28002025000400314&collection=scl&format=json
S0101-28002025000300305-scl,The impact of chronic kidney disease on health-related quality of life (HRQoL): key insights from a hospital-based cross-sectional study,"Sahu, Gautam, Arora, Pooja, Tiwari, Pramil, D’Cruz, Sanjay, Tahlan, Anita",Brazilian Journal of Nephrology; 47(3); -,Brazilian Journal of Nephrology,Inglês,2025,S0101-28002025000300305,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002025000300305&tlng=pt,O impacto da doença renal crônica na qualidade de vida relacionada à saúde (QVRS): principais percepções de um estudo transversal de base hospitalar,"Introdução: Este estudo explora qualidade de vida relacionada à saúde (QVRS) em pacientes com DRC, analisando impacto de fatores sociodemográficos (idade, escolaridade, renda) e clínicos (estágio da doença, comorbidades, tipo de tratamento). O objetivo foi avaliar fatores contribuintes para melhora dos desfechos e para o bem-estar geral dos portadores de DRC.  Métodos: Estudo transversal, realizado na clínica de nefrologia de um hospital público universitário, envolvendo 560 participantes selecionados aleatoriamente. O questionário KDQOL-SFTM foi utilizado para coletar dados, analisados pelo SPSS (versão 20.0). Utilizou-se estatísticas descritivas para resumir características basais e o α de Cronbach para avaliar confiabilidade dos itens do questionário. As diferenças nos escores de QVRS entre grupos foram examinadas pelos testes t independentes e ANOVA, enquanto a análise de regressão foi usada para explorar associações entre variáveis.  Resultados: O estudo analisou QVRS em 560 pacientes com DRC, com idade média de 53,32 anos e taxa de resposta de 81,27%. O escore médio de QVRS foi 32,03 ± 6,55. Homens predominaram nos estágios iniciais da DRC (72,5% nos estágios 1 e 2), enquanto mulheres predominaram no estágio 4. O índice de desemprego foi elevado (73,6%). Pacientes > 50 anos apresentaram escores mais altos no domínio Burden of Kidney Disease (BKD) (26,73 ± 19,36), enquanto pacientes mais jovens apresentaram melhores desfechos de saúde mental. Pacientes recém-diagnosticados apresentaram maiores escores nos domínios de QVRS do que casos já conhecidos. A escolaridade foi um preditor significativo de maior QVRS (p < 0,001), mas não a ocupação e a renda. Hipertensão (75,71%) e diabetes (39,64%) foram comorbidades comuns, ressaltando as influências socioeconômicas na QVRS na DRC.  Conclusão: Este estudo destaca o forte impacto dos fatores sociodemográficos e clínicos, especialmente escolaridade, ocupação e estágio da doença, na QVRS dos pacientes com DRC. Intervenções precoces e manejo holístico da DRC, abordando questões clínicas e socioeconômicas, são fundamentais para melhorar o bem-estar do paciente.",Insuficiência Renal Crônica; Qualidade de Vida; Fatores Sociodemográficos; Comorbidade.,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S0101-28002025000300305&collection=scl&format=json
S0103-11042025000200207-scl,Matriciamento em saúde mental: a perspectiva dos profissionais de Centros de Atenção Psicossocial,"Silva, Daniela Cristine Morais da, Dubeux, Luciana Santos",Saúde em Debate; 49(145); -,Saúde em Debate,Português,2025,S0103-11042025000200207,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-11042025000200207&tlng=pt,Matriciamento em saúde mental: a perspectiva dos profissionais de Centros de Atenção Psicossocial,"O objetivo deste estudo é avaliar a implantação do matriciamento nos Centros de Atenção Psicossocial (Caps) tipos II e III 24 horas em Recife, Pernambuco. Desenvolveu-se um estudo avaliativo, do tipo normativo, com aferição do Grau de Implantação (GI) baseado em critérios, indicadores e parâmetros de estrutura e processo orientados pela construção do modelo lógico e da matriz de análise e julgamento, validados por consulta a especialistas. A coleta dos dados envolveu a aplicação de questionário estruturado com 97 gestores e profissionais de nível superior, observação não participante e consulta a documentos. Apontam-se GI incipiente (53,1%) da intervenção, e por dimensão, estrutura e processo (44,8% e 57,2%, respectivamente). Na dimensão processo, o componente ações educacionais apresentou-se não implantado (18%), enquanto as ações pedagógico-terapêuticas se mostraram implantadas (78,4%), à exceção do Caps E. O estudo demonstrou implantação desfavorável, expondo fragilidades e fortalezas das ações do matriciamento dos Caps de Recife, com capacidade para contribuir para a adoção de mudanças positivas na gestão e na prática clínica. Recomenda-se investimento em formação profissional de matriciadores e gestores, em instrumentos de trabalho, em tecnologias digitais e em ações educativas.",Saúde mental; Serviços de saúde mental; Qualidade da assistência à saúde; Avaliação em saúde,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S0103-11042025000200207&collection=scl&format=json
S1413-81232025000500900-scl,Fatores associados à Capacidade Antioxidante Total da Dieta da população brasileira,"Silva, Mariane Alves, Suhett, Lara Gomes, Bezerra, Ilana Nogueira, Machado, Soraia Pinheiro",Ciência & Saúde Coletiva; 30(5); -,Ciência & Saúde Coletiva,Português,2025,S1413-81232025000500900,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232025000500900&tlng=pt,Fatores associados à Capacidade Antioxidante Total da Dieta da população brasileira,"O objetivo é avaliar se as condições socioeconômicas e demográficas estão associadas à Capacidade Antioxidante Total da Dieta (CATd) da população brasileira. Estudo realizado com 46.164 brasileiros com 10 ou mais anos de idade, avaliados pela Pesquisa de Orçamentos Familiares (POF 2017-2018). O consumo alimentar foi avaliado por meio do recordatório de 24 horas, sendo a CATd determinada a partir do somatório do teor de antioxidantes de cada alimento ingerido, a partir de uma base de dados, com informações do valor da CAT em mmol/100g de 3.100 alimentos. Modelos de regressão logística multinomial foram propostos para testar a relação entre fatores socioeconômicos e CATd. A mediana da CATd foi de 3.48 (0.62-24.55) mmol/1.000 Kcal. As mulheres, indivíduos de maior idade (adultos e idosos) e moradores da zona rural e regiões Nordeste, Sul e Sudeste do país apresentaram uma maior ingestão de antioxidantes. Por outro lado, indivíduos com maior escolaridade e renda apresentaram menor valor da CATd. A situação socioeconômica e demográfica associou-se ao consumo de antioxidantes, reforçando a importância de identificação dos grupos de risco para alimentação inadequada, para melhor direcionamento na implementação de políticas públicas e intervenções nutricionais.",Dieta; Consumo alimentar; Antioxidantes; Fatores socioeconômicos,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1413-81232025000500900&collection=scl&format=json
S1413-81232025000400909-scl,Cuidado às pessoas vivendo com HIV na atenção especializada: uma análise à luz da vulnerabilidade programática,"Silvério, Rafaela Fidelis Lima, Silva Júnior, Aluísio Gomes da, Silva, Drieli Oliveira, Almeida, Patty Fidelis de",Ciência & Saúde Coletiva; 30(4); -,Ciência & Saúde Coletiva,"Português, Inglês",2025,S1413-81232025000400909,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232025000400909&tlng=pt,Cuidado às pessoas vivendo com HIV na atenção especializada: uma análise à luz da vulnerabilidade programática,"O objetivo foi compreender e analisar experiências de cuidado de pessoas vivendo com HIV (PVH) em serviços especializados, identificando facilitadores e barreiras de acesso. Estudo avaliativo, qualitativo, com realização de 45 entrevistas com PVH, cujo acompanhamento é centrado em policlínicas de especialidades. Para análise temática, utilizou-se o referencial da vulnerabilidade programática em duas dimensões: acesso aos serviços de saúde e intregalidade da atenção. A maioria dos participantes não mantinha vínculo com a atenção primária à saúde, embora apresentasse supressão viral. Consultas médicas, exames laboratoriais, ações preventivas e educacionais individuais se concentravam nas policlínicas. A referência de cuidado à saúde foi atribuída ao infectologista, sem atuação de equipe multiprofissional, embora houvesse acesso a especialistas via fluxo de referência interno nas policlínicas. O acompanhamento das demais condições de saúde era parcial e complementada por serviços privados. As PVH encontravam nas policlínicas suporte a demandas biomédicas e relacionais, embora permanecesse o desafio da atenção integral. Sugere-se um modelo de cuidados compartilhados, de corresponsabilidade, não hieráquico, orientado aos usuários, com mudanças no modus operandi das redes de atenção à saúde.",HIV/aids; Vulnerabilidade em saúde; Atenção secundária à saúde; Integralidade em saúde,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1413-81232025000400909&collection=scl&format=json
S1413-81232025000400901-scl,"Adesão à alimentação escolar em estudantes do 9º ano da rede municipal de ensino da cidade de Pelotas, RS, Brasil","Viana, Manuela Ferreira, Linhares, Angélica Ozório, Mintem, Gicele Costa, Muniz, Ludmila Correa, Kaufmann, Cristina Corrêa, Bielemann, Renata Moraes",Ciência & Saúde Coletiva; 30(4); -,Ciência & Saúde Coletiva,Português,2025,S1413-81232025000400901,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232025000400901&tlng=pt,"Adesão à alimentação escolar em estudantes do 9º ano da rede municipal de ensino da cidade de Pelotas, RS, Brasil","Objetivou-se descrever a adesão à alimentação escolar e possíveis fatores associados entre estudantes da rede municipal de Pelotas, Rio Grande do Sul. Estudo transversal com os alunos matriculados no 9º ano das escolas municipais de ensino fundamental urbanas. As informações foram coletadas por questionário autoaplicável e medidas antropométricas foram aferidas para avaliação do estado nutricional. Foram utilizados os testes estatísticos qui-quadrado, de tendência linear ou exato de Fisher para as análises bivariadas e regressão de Poisson com variância robusta nas análises brutas e ajustadas. A prevalência do consumo da alimentação escolar foi de 77,9%, com adesão efetiva (4-5 dias/semana) de 38,1%, maior em escolares não brancos (1,39; IC95% 1,13-1,70) e com sobrepeso (1,35; IC95% 1,13-1,70). A baixa prevalência de adesão efetiva indica necessidade de educação nutricional entre estudantes para aumentar a conscientização sobre alimentação adequada, valorizar a alimentação escolar e promover escolhas saudáveis.",Alimentação escolar; Estudantes; Adolescentes,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1413-81232025000400901&collection=scl&format=json
S1413-81232025000400905-scl,Fatores associados à qualidade da dieta de trabalhadores de saúde durante o enfrentamento da pandemia de COVID-19,"Goularte, Laura Moreira, Flesch, Betina Daniele, Carvalho, Maitê Peres de, Szortyka, Ana Laura Sica Cruzeiro, Delpino, Felipe Mendes, Fassa, Anaclaudia Gastal",Ciência & Saúde Coletiva; 30(4); -,Ciência & Saúde Coletiva,Português,2025,S1413-81232025000400905,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232025000400905&tlng=pt,Fatores associados à qualidade da dieta de trabalhadores de saúde durante o enfrentamento da pandemia de COVID-19,"O estudo caracterizou a qualidade da dieta dos trabalhadores de saúde de um hospital escola de Pelotas-RS após o primeiro pico da pandemia de COVID-19, entre outubro e dezembro de 2020. Realizou-se um estudo transversal com 1.159 trabalhadores do hospital, avaliando a frequência alimentar da última semana e a associação entre aspectos sociodemográficos, comportamentais e ocupacionais e o índice de qualidade da dieta, por regressão logística multinomial. Entrevistados do sexo feminino (OR = 1,58), com 50 anos ou mais (OR = 3,70), com ensino superior (OR = 1,32) e fisicamente ativos (OR = 5,37) apresentaram melhor qualidade da dieta. Já os que faziam consumo alto de álcool (OR = 0,39), trabalhadores do apoio (segurança, higienização e manutenção) (OR = 0,36) e que realizaram suas refeições na rua (OR = 0,40) apresentaram pior qualidade da dieta. Durante a pandemia, 48,7% relataram aumento de peso, 25% piora na qualidade e 43,1% aumento na quantidade dos alimentos consumidos. O excesso de peso foi de 63,4%. Os trabalhadores consumiam tanto alimentos saudáveis como não saudáveis e a pandemia afetou negativamente a qualidade da dieta.",Hábitos alimentares; Comportamento alimentar; COVID-19; Pandemia; Recursos humanos em hospital,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1413-81232025000400905&collection=scl&format=json
S1413-81232025000400902-scl,The food retail environment around schools in a low-income Brazilian city: a street audit evaluation,"Costa, Gabriel M. A., Vidal, Nicole A. C., Almeida, Nykholle B., Aragão, Luan S., Menezes, Rísia C. E., Longo-Silva, Giovana, Silveira, Jonas A. C.",Ciência & Saúde Coletiva; 30(4); -,Ciência & Saúde Coletiva,Inglês,2025,S1413-81232025000400902,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232025000400902&tlng=pt,Ambiente alimentar de varejo no entorno de escolas em uma cidade brasileira de baixa renda: uma avaliação por auditoria,"Este estudo transversal avaliou o ambiente alimentar (AA) de varejo no entorno de centros de educação infantil (CEI) de Rio Largo/AL. Os pontos de venda de alimentos (PVA) mapeados em inquérito conduzido nas ruas da cidade foram auditados usando a versão brasileira do Nutrition Environment Measurement Survey for Stores. Os endereços dos CEI disponibilizados pela Secretaria de Educação foram validados e geocodificados (n=21) e os entornos definidos por buffers de 400 e 800 metros. O AA foi analisado por meio do índice de disponibilidade de alimentos saudáveis (IDAS), a distância entre PVA e CEI e a distribuição e densidade de PVA segundo os tipos de alimentos predominantemente comercializados (saudável, misto e não saudável). Foram identificados 332 (57,7%) e 505 (87,8%) PVA nos buffers de 400 e 800 metros, respectivamente. Em média, observou-se 23 (400 m) e 54 (800 m) PVA ao redor dos CEI, sendo que ~60% eram não saudáveis (com adensamentos por toda a cidade). Em ambos os buffers o IDAS foi muito baixo (400m: -1 ponto [IIQ -6; 10]; 800m: -2 pontos [IIQ -6; 10]). Em conclusão, a cidade não oferece um AA comunitário favorável para que crianças desenvolvam e mantenham padrões alimentares saudáveis.",Ambiente construído; Ambiente alimentar; Promoção de saúde; Escolas; Crianças,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1413-81232025000400902&collection=scl&format=json
S1413-81232025000400913-scl,O que uma UBS pode oferecer às pessoas LGBTI+?,"Miskolci, Richard, Oliveira, Fernando Sanches de, Teixeira, Flávia do Bonsucesso, Deslandes, Keila, Pereira, Pedro Paulo Gomes",Ciência & Saúde Coletiva; 30(4); -,Ciência & Saúde Coletiva,Português,2025,S1413-81232025000400913,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232025000400913&tlng=pt,O que uma UBS pode oferecer às pessoas LGBTI+?,"A partir da análise de entrevistas feitas com profissionais de saúde que atuam na atenção básica na cidade de São Paulo, este artigo busca identificar: 1) como descrevem pessoas LGBTI+ e suas demandas de saúde; 2) como avaliam sua formação para lidar com esse segmento; 3) quais os principais obstáculos para atendê-lo; e 4) como descrevem o atendimento provido. Por meio de uma análise foucaultiana do discurso e fontes da sociologia da medicina, reconheceu-se a preponderância do olhar anatomopatológico no reconhecimento do segmento LGBTI+, a avaliação negativa da formação para lidar com essa população, assim como a persistência de obstáculos ao atendimento dessas pessoas, que ainda é avaliado como deficiente. Conclui-se que a hegemonia do modelo biomédico e do imperativo do aprendizado prático criam obstáculos ao provimento de atendimento integral à população LGBTI+.",Saúde LGBTI+; Profissionais de saúde; Modelo biomédico; Olhar anatomopatológico; Atenção básica,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1413-81232025000400913&collection=scl&format=json
S1413-81232025000400900-scl,Assistência pré-natal entre adolescentes no extremo Sul do Brasil: um estudo de tendência secular,"Cesar-e-Silva, Affonso Henrique A., Michelon, Isabella F., Marmitt, Luana P., Cesar, Juraci A.",Ciência & Saúde Coletiva; 30(4); -,Ciência & Saúde Coletiva,"Português, Inglês",2025,S1413-81232025000400900,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232025000400900&tlng=pt,Assistência pré-natal entre adolescentes no extremo Sul do Brasil: um estudo de tendência secular,"Este estudo mediu prevalência e avaliou tendência para diversos indicadores da assistência pré-natal entre gestantes adolescentes em Rio Grande-RS. Entre 01/01 e 31/12 dos anos de 2007, 2010, 2013, 2016 e 2019, foi aplicado ainda na maternidade questionário único, padronizado à todas as parturientes residentes neste município que tiveram filhos nos hospitais locais. Utilizou-se teste qui-quadrado para comparar proporções e avaliar tendência. Dentre as 12.645 parturientes identificadas, 2.184 (17,3%) eram adolescentes (<20 anos). Dos 36 indicadores avaliados, houve piora em 2 (planejamento da gravidez e ocorrência de diabete mellitus), estabilidade em 5 (realização de ultrassonografia abdominal, imunização antitetânica, posse da carteira da gestante e ocorrência de baixo peso ao nascer e prematuridade) e melhora nos demais, com destaque para escolaridade materna, taxa de gravidez na adolescência, realização de exames clínicos e laboratoriais e realização de pré-natal adequado, passando de 13,8% em 2007 para 52,5% em 2019. Houve melhora substancial na assistência à gestação e ao parto, mas quase metade das adolescentes rio-grandinas ainda não realizou pré-natal considerado adequado, ao mesmo tempo em que aumentou a ocorrência de gravidez não planejada.",Pré-natal; Gravidez na Adolescência; Saúde do Adolescentes; Mães Adolescentes,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S1413-81232025000400900&collection=scl&format=json
S0101-28002025000200305-scl,Nutritional counseling tailored to the patient’s learning type and its impact on interdialytic weight gain in chronic hemodialysis patients,"Almeida, Naiane Rodrigues de, Pellizzari, Caio, Leinig, Cynthia, Nerbass, Fabiana, Moraes, Thyago Proença de",Brazilian Journal of Nephrology; 47(2); -,Brazilian Journal of Nephrology,"Português, Inglês",2025,S0101-28002025000200305,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002025000200305&tlng=pt,Orientação nutricional personalizada segundo o tipo de aprendizagem do paciente e seu impacto no ganho de peso interdialítico em pacientes crônicos em hemodiálise,"Introdução: O ganho de peso interdialítico (GPID) é um fator de risco para complicações cardiovasculares e mortalidade em pacientes em hemodiálise (HD). A ingestão de sódio e líquidos é um importante fator de risco modificável para esses desfechos, e o papel do nutricionista como educador é essencial nesse processo. Entretanto, a adesão dos pacientes costuma ser baixa, o que representa um desafio significativo. Recomendações recentes sugerem a personalização do pro­cesso educacional, mas existem dados limitados sobre como realizar essa adaptação de forma eficaz. O presente estudo teve como objetivo avaliar a eficácia de uma intervenção nutricional personalizada baseada no estilo de aprendizagem, utilizando a ferramenta VARK, a fim de reduzir o GPID em pacientes em HD.  Métodos: Este foi um ensaio clínico randomizado cruzado. Os pacientes do grupo intervenção receberam orientação nutricional individualizada com base em seu estilo de aprendizagem, conforme determinado pelo questionário VARK. O grupo controle recebeu orientação padrão, sem qualquer personalização ou materiais educacionais.  Resultados: Participaram do estudo 21 pacientes crô­nicos em HD. Em média, o GPID basal na população foi de 2,61 ± 1,08 litros, e não observamos nenhum padrão signi­ficativo de alteração no GPID (p = 0,55) ou na pressão arterial sistólica (p = 0,44) durante o período do estudo.  ConclusÃO: A orientação nutricional personalizada com base no estilo de aprendizagem do paciente não resultou em uma melhora no GPID em nossa população.",VARK; Diálise; Hipervolemia,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S0101-28002025000200305&collection=scl&format=json
S0104-40362025000100211-scl,O impacto da pandemia no desempenho escolar em municípios de médio porte do estado do Maranhão,"Rodrigues, Elizabeth Pereira, Maciel, Larissa Porfírio, Ruggiero, Rafael Naime, Ramos, Mozart Neves",Ensaio: Avaliação e Políticas Públicas em Educação; 33(126); -,Ensaio: Avaliação e Políticas Públicas em Educação,Português,2025,S0104-40362025000100211,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362025000100211&tlng=pt,O impacto da pandemia no desempenho escolar em municípios de médio porte do estado do Maranhão,"A técnica estatística de análise de componentes principais foi aplicada para avaliar o desempenho escolar dos Anos Iniciais e Finais do Ensino Fundamental (EF) dos municípios de médio porte do estado do Maranhão, incluindo São Luís, para os anos de 2019 e 2021. Nesse sentido, cinco indicadores educacionais foram utilizados: os percentuais de alunos com aprendizado adequado em Língua Portuguesa (LP) e em Matemática (MAT), os componentes do Ideb e a taxa de distorção idade-série. Nossos resultados mostraram que mais de 90% da variância dos dados originais, para os Anos Iniciais do EF, pode ser essencialmente explicada pelas duas variáveis LP e MAT. Para esta etapa escolar, a pandemia teve impacto significativo na queda desempenho escolar, exceto no município de Timon. Ao contrário dos Anos Iniciais, o modelo estatístico para explicar a variância dos dados para os Anos Finais é mais complexo. Além disso, o impacto da pandemia nesse caso foi menor, com Timon também apresentando crescimento no desempenho. Nossa análise ressalta a disparidade nos efeitos da pandemia entre as etapas escolares e a importância do uso desta técnica na compreensão do desempenho educacional em contextos complexos.",Desempenho Escolar; Componentes Principais; Pandemia Covid-19; Municípios de Médio Porte; Estado do Maranhão,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S0104-40362025000100211&collection=scl&format=json
S0104-40362025000100210-scl,New model to evaluate innovation in Higher Education institutions,"Proença, Joaquim Jose Carvalho, Vera, Carmen Ramos",Ensaio: Avaliação e Políticas Públicas em Educação; 33(126); -,Ensaio: Avaliação e Políticas Públicas em Educação,Inglês,2025,S0104-40362025000100210,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362025000100210&tlng=pt,Modelo para avaliação da inovação nas Instituições de Ensino Superior,"Medir a inovação nas Instituições de Ensino Superior (IES) é desafiador devido à dependência dos rankings existentes em indicadores limitados a publicações e patentes. Este estudo propõe um modelo abrangente para avaliação da inovação nas IES e identifica quatro dimensões-chave: processos de gestão, programas acadêmicos, parcerias e marketing. Mais de 60 indicadores dentro dessas dimensões fornecem uma avaliação completa da capacidade de inovação das IES. Esse modelo possibilita a comparação com instituições similares, o acompanhamento do progresso da inovação ao longo do tempo e a tomada de decisões para aprimorar a inovação nas IES, além de oferecer uma abordagem mais precisa e útil para avaliar e fortalecer a inovação no Ensino Superior.",Inovação Educacional; Planejamento Educacional; Administração Educacional; Gestão Educacional; Avaliação Educacional,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S0104-40362025000100210&collection=scl&format=json
S0104-40362025000100201-scl,"Cybernetics of self-regulation, homeostasis, and fuzzy logic: foundational triad for assessing learning using artificial intelligence","Rivas, Edinson Oswaldo Delgado, Chiappe, Andrés, Sagredo, Angélica Vera",Ensaio: Avaliação e Políticas Públicas em Educação; 33(126); -,Ensaio: Avaliação e Políticas Públicas em Educação,Inglês,2025,S0104-40362025000100201,https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362025000100201&tlng=pt,"Cibernética da auto-regulação, homeostase e lógica difusa: tríade fundamental para avaliar a aprendizagem usando inteligência artificial","A Educação atual está cada vez mais mediada por tecnologias digitais que implicam novos desafios que precisam ser abordados detalhadamente para transformá-los em oportunidades de avanço e evolução. Tal é o caso da inteligência artificial nos processos de avaliação da aprendizagem, o que nos obriga a repensar métodos, mecanismos e estratégias tradicionais para avaliar o sucesso da aprendizagem dos alunos, especialmente na Educação a Distância e online. Dada a complexidade do exposto, este ensaio analítico propõe uma análise dos desenvolvimentos da inteligência artificial que apoiam a chamada “avaliação 4.0”, com base na aplicação da lógica difusa, homeostase e na cibernética da auto-regulação. Tal aplicação forneceria suporte técnico e um quadro de entendimento geral para os processos de Avaliação, tanto para os professores quanto para os alunos, objetivando promover processos de avaliação mais alinhados com a natureza flexível e muitas vezes imprecisa e ambígua da aprendizagem e desempenho, associados à avaliação de habilidades no âmbito da quarta revolução industrial.",Avaliação 4.0; Educação a Distância; Educação Online; Cibernética da Auto-Regulação; Lógica Difusa; Metacognição; Feedback,ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S0104-40362025000100201&collection=scl&format=json
S0103-11042025000100216-scl,"Instrumento de Conhecimento, Atitudes e Práticas (CAP) para enfrentamento de epidemias e pandemias","Pascotini, Mauro Renato, Melo, Michele Bueno de, Pepi, Beatriz Pierini, Oliveira, Leonardo Pestillo de, Yamaguchi, Mirian Ueda",Saúde em Debate; 49(144); -,Saúde em Debate,Português,2025,S0103-11042025000100216,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-11042025000100216&tlng=pt,"Instrumento de Conhecimento, Atitudes e Práticas (CAP) para enfrentamento de epidemias e pandemias","A emergência e reemergência de doenças infectocontagiosas apresenta inegável participação da população e o controle de disseminação continua sendo uma premência do mundo moderno. A investigação do Conhecimento, Atitudes e Práticas (CAP) é uma estratégia que pode ser empregada em uma população definida para identificação da sua percepção acerca do processo saúde-doença e disponibilidade em assumir novas atitudes. O objetivo deste trabalho foi elaborar e validar instrumento CAP para enfrentamento de epidemias e pandemias em estudantes universitários da Educação a Distância. Esses universitários, pertencentes a todas as regiões do país, responderam a um questionário on-line. A validação foi atestada por meio da validade de conteúdo e estrutura interna do instrumento. Foram realizadas análises fatoriais exploratória e confirmatória, respectivamente, por meio do critério de Kaiser-Guttman e pelas medidas de alfa de Cronbach e da variância média extraída. O ajuste da estrutura fatorial foi avaliado por meio dos testes qui-quadrado, Tucker-Lewis fit e comparative fit. O instrumento CAP desenvolvido apresenta validade e confiabilidade. Informações coletadas por meio do instrumento CAP validado podem contribuir para a elaboração de políticas de saúde mais efetivas se baseadas nas características proeminentes de uma população a um dado contexto.","Conhecimentos, atitudes e prática em saúde; Educação em saúde; Promoção da saúde",ok_completo,articlemeta_isis[T] | articlemeta_isis[R] | articlemeta_isis[K],http://articlemeta.scielo.org/api/v1/article?code=S0103-11042025000100216&collection=scl&format=json
